username,year,day,filename,readability_score,naming,modularity,control_flow,comments_docs,pythonic_style
AbdeI1,2020,8,code.py,5,6,5,5,2,5
AbdeI1,2020,9,code.py,4,4,6,4,2,4
AbdeI1,2020,10,code.py,4,4,5,4,3,4
AbdeI1,2020,11,code.py,4,5,3,4,2,4
AbdeI1,2020,12,code.py,7,8,6,10,5,7
AbdeI1,2020,13,code.py,4,3,5,4,2,4
AbdeI1,2020,14,code.py,4,4,5,4,2,3
AbdeI1,2020,15,code.py,3,2,5,4,1,3
AbdeI1,2020,16,code.py,3,3,4,3,1,3
AbdeI1,2020,17,code.py,4,5,4,5,3,4
AbdeI1,2020,18,code.py,4,5,4,4,6,4
AbdeI1,2020,19,code.py,3,3,4,3,2,3
AbdeI1,2020,20,code.py,3,4,5,3,1,4
AbdeI1,2020,21,code.py,3,3,4,3,1,3
AbdeI1,2020,22,code.py,4,5,5,3,2,4
AbdeI1,2020,23,code.py,3,2,5,3,1,3
AbdeI1,2020,24,code.py,4,4,5,4,2,5
AbdeI1,2020,25,code.py,6,7,7,5,2,7
AbdeI1,2021,1,code.py,6,7,7,5,3,7
AbdeI1,2021,2,code.py,7,8,7,7,5,8
AbdeI1,2021,3,code.py,5,6,5,5,2,6
AbdeI1,2021,4,code.py,3,4,4,3,1,4
AbdeI1,2021,5,code.py,5,6,7,5,2,6
AbdeI1,2021,6,code.py,4,4,5,4,2,5
AbdeI1,2021,7,code.py,5,5,6,6,3,6
AbdeI1,2021,8,code.py,3,4,4,3,1,4
AbdeI1,2021,9,code.py,4,4,6,5,2,5
AbdeI1,2021,10,code.py,6,7,5,6,2,7
AbdeI1,2021,11,code.py,4,3,5,5,2,4
AbdeI1,2021,12,code.py,4,3,5,4,2,5
AbdeI1,2021,13,code.py,3,2,4,4,1,3
AbdeI1,2021,14,code.py,4,3,5,4,1,4
AbdeI1,2021,15,code.py,4,3,5,5,1,4
AbdeI1,2021,16,code.py,4,4,5,4,1,5
AbdeI1,2021,17,code.py,5,6,6,5,2,6
AbdeI1,2021,18,code.py,4,3,5,4,2,4
AbdeI1,2021,19,code.py,4,4,5,4,1,4
AbdeI1,2021,20,code.py,4,4,5,5,1,4
AbdeI1,2021,21,code.py,4,5,4,5,2,5
AbdeI1,2021,22,code.py,4,5,6,4,2,5
AbdeI1,2021,23,code.py,4,5,4,3,2,5
AbdeI1,2021,24,code.py,6,7,6,5,4,7
AbdeI1,2021,25,code.py,6,7,7,5,3,6
AbdeI1,2022,1,code.py,6,7,7,5,3,7
AbdeI1,2022,2,code.py,5,6,7,4,2,6
AbdeI1,2022,3,code.py,5,6,7,4,2,6
AbdeI1,2022,4,code.py,5,5,7,6,2,5
AbdeI1,2022,5,code.py,4,4,5,4,1,4
AbdeI1,2022,6,code.py,5,4,6,5,2,6
AbdeI1,2022,7,code.py,5,6,4,5,2,6
AbdeI1,2022,8,code.py,4,4,6,4,2,5
AbdeI1,2022,9,code.py,6,7,7,5,3,6
AbdeI1,2022,10,code.py,6,6,7,6,4,7
AbdeI1,2022,11,code.py,4,5,4,5,2,5
AbdeI1,2022,12,code.py,5,5,7,6,2,6
AbdeI1,2022,13,code.py,4,5,6,4,2,5
AbdeI1,2022,14,code.py,5,6,7,4,2,6
AbdeI1,2022,15,code.py,4,4,5,4,2,5
AbdeI1,2022,16,code.py,3,2,3,4,1,3
AbdeI1,2022,17,code.py,3,3,4,3,1,4
AbdeI1,2022,18,code.py,4,4,5,4,2,5
AbdeI1,2022,19,code.py,4,4,5,4,2,5
AbdeI1,2022,20,code.py,4,5,3,4,2,5
AbdeI1,2022,21,code.py,4,4,5,3,2,4
AbdeI1,2022,22,code.py,3,3,4,3,1,4
AbdeI1,2022,23,code.py,4,4,5,3,2,4
AbdeI1,2022,24,code.py,4,5,3,4,1,5
AbdeI1,2022,25,code.py,5,4,7,5,2,6
AbdeI1,2023,1,code.py,6,7,7,5,7,6
AbdeI1,2023,2,code.py,5,6,7,4,2,6
AbdeI1,2023,3,code.py,4,4,5,3,2,4
AbdeI1,2023,4,code.py,5,6,7,4,2,6
AbdeI1,2023,5,code.py,5,6,5,5,2,6
AbdeI1,2023,6,code.py,7,8,7,7,7,7
AbdeI1,2023,7,code.py,5,6,7,4,2,5
AbdeI1,2023,8,code.py,6,7,5,5,3,7
AbdeI1,2023,9,code.py,7,7,8,6,5,7
AbdeI1,2023,10,code.py,4,5,3,4,1,5
AbdeI1,2023,11,code.py,4,5,3,4,2,5
AbdeI1,2023,12,code.py,4,5,4,3,1,6
AbdeI1,2023,13,code.py,4,5,6,4,2,5
AbdeI1,2023,14,code.py,5,6,5,5,3,6
AbdeI1,2023,15,code.py,4,4,5,4,2,5
AbdeI1,2023,16,code.py,4,3,5,4,1,5
AbdeI1,2023,17,code.py,4,3,7,4,1,5
AbdeI1,2023,18,code.py,5,5,7,6,1,6
AbdeI1,2023,19,code.py,4,5,5,3,2,4
AbdeI1,2023,20,code.py,5,6,5,5,2,6
AbdeI1,2023,21,code.py,3,2,5,4,1,4
AbdeI1,2023,22,code.py,4,5,3,4,1,6
AbdeI1,2023,23,code.py,3,2,4,3,1,4
AbdeI1,2023,24,code.py,4,4,6,5,1,5
AbdeI1,2023,25,code.py,4,3,4,5,2,5
AbdeI1,2024,1,code.py,3,4,5,2,1,3
AbdeI1,2024,2,code.py,3,2,4,2,1,4
AbdeI1,2024,3,code.py,2,2,3,1,1,2
AbdeI1,2024,4,code.py,3,2,4,4,2,3
AbdeI1,2024,5,code.py,3,2,4,3,1,4
AbdeI1,2024,6,code.py,3,3,4,3,1,4
AbdeI1,2024,7,code.py,4,5,6,3,2,5
AbdeI1,2024,8,code.py,4,3,7,4,1,5
AbdeI1,2024,9,code.py,3,2,4,3,2,4
AbdeI1,2024,10,code.py,4,3,5,4,2,5
AbdeI1,2024,11,code.py,4,3,5,5,2,5
AbdeI1,2024,12,code.py,4,3,7,5,1,4
AbdeI1,2024,13,code.py,3,3,5,4,1,3
AbdeI1,2024,14,code.py,4,4,5,4,1,5
AbdeI1,2024,15,code.py,4,5,4,3,2,5
AbdeI1,2024,16,code.py,4,3,5,4,1,5
AbdeI1,2024,17,code.py,4,3,5,4,1,5
AbdeI1,2024,18,code.py,4,3,5,4,2,5
AbdeI1,2024,19,code.py,5,5,6,5,2,6
AbdeI1,2024,20,code.py,4,4,6,5,1,5
AbdeI1,2024,21,code.py,4,4,5,3,2,5
AbdeI1,2024,22,code.py,4,3,6,5,2,5
AbdeI1,2024,23,code.py,3,2,4,3,1,4
AbdeI1,2024,24,code.py,4,3,5,5,2,4
AbdeI1,2024,25,code.py,3,2,4,3,2,3
AbdeI1,2025,1,code.py,2,2,3,1,1,2
AbdeI1,2025,2,code.py,4,3,6,4,2,5
AbdeI1,2025,3,code.py,5,4,6,5,2,6
AbdeI1,2025,4,code.py,4,4,5,4,2,5
AbdeI1,2025,5,code.py,4,3,7,4,2,5
AbdeI1,2025,6,code.py,4,3,5,4,2,5
AbdeI1,2025,7,code.py,5,4,7,5,2,6
AbdeI1,2025,8,code.py,4,3,5,4,1,5
AbdeI1,2025,9,code.py,4,4,5,4,2,5
AbdeI1,2025,10,code.py,3,2,4,4,1,3
AbdeI1,2025,11,code.py,5,4,7,5,3,6
AbdeI1,2025,12,code.py,4,3,4,5,3,4
arhamansari11,2024,1,solution1.py,7,8,5,8,7,8
arhamansari11,2024,1,solution2.py,7,8,5,8,7,7
arhamansari11,2024,2,solution1.py,7,8,7,7,8,7
arhamansari11,2024,2,solution2.py,7,8,7,7,8,7
arhamansari11,2024,3,solution1.py,7,8,7,7,8,7
arhamansari11,2024,3,solution2.py,7,8,6,7,8,7
arhamansari11,2024,4,solution1.py,7,8,6,7,7,8
arhamansari11,2024,4,solution2.py,7,8,7,7,8,7
arhamansari11,2024,5,solution1.py,7,8,7,6,8,7
arhamansari11,2024,5,solution2.py,7,8,7,6,7,8
arhamansari11,2024,6,solution1.py,7,8,7,6,7,8
arhamansari11,2024,6,solution2.py,5,5,3,6,7,6
arhamansari11,2024,7,solution1.py,7,8,7,7,8,7
arhamansari11,2024,7,solution2.py,7,8,7,7,8,7
arhamansari11,2024,8,solution1.py,7,8,6,7,8,7
arhamansari11,2024,8,solution2.py,7,8,6,7,8,7
arhamansari11,2024,9,solution1.py,4,3,3,5,4,5
arhamansari11,2024,9,solution2.py,4,4,5,4,3,5
arhamansari11,2024,10,solution1.py,7,8,8,6,8,7
arhamansari11,2024,10,solution2.py,7,8,7,6,8,7
arhamansari11,2024,11,solution1.py,7,8,8,6,8,7
arhamansari11,2024,11,solution2.py,7,8,7,7,8,7
arhamansari11,2024,12,solution1.py,7,8,7,6,7,7
arhamansari11,2024,12,solution2.py,3,3,2,4,1,4
arhamansari11,2024,13,solution1.py,6,7,7,5,8,6
arhamansari11,2024,13,solution2.py,3,2,1,4,1,3
arhamansari11,2024,14,solution1.py,7,8,7,7,8,7
arhamansari11,2024,14,solution2.py,4,3,3,5,1,4
arhamansari11,2024,15,solution1.py,5,6,7,4,6,5
arhamansari11,2024,15,solution2.py,4,5,4,4,5,5
arhamansari11,2024,16,solution1.py,7,8,7,6,8,7
arhamansari11,2024,16,solution2.py,6,7,5,5,5,7
arhamansari11,2024,17,solution1.py,7,8,7,6,8,7
arhamansari11,2024,17,solution2.py,4,4,5,4,3,4
arhamansari11,2024,18,solution1.py,8,9,8,8,9,9
arhamansari11,2024,18,solution2.py,7,8,7,7,8,7
arhamansari11,2024,19,solution1.py,7,8,7,6,8,8
arhamansari11,2024,19,solution2.py,8,9,8,7,8,9
arhamansari11,2024,20,solution1.py,7,8,7,6,7,8
arhamansari11,2024,20,solution2.py,7,8,7,7,6,8
arhamansari11,2024,21,solution1.py,4,5,3,4,2,5
arhamansari11,2024,21,solution2.py,3,3,4,3,1,4
arhamansari11,2024,22,solution1.py,8,9,8,8,8,9
arhamansari11,2024,22,solution2.py,6,7,6,6,7,7
arhamansari11,2024,23,solution1.py,7,8,7,6,8,8
arhamansari11,2024,23,solution2.py,8,9,8,7,9,8
arhamansari11,2024,24,solution1.py,7,8,7,6,8,7
arhamansari11,2024,24,solution2.py,6,7,5,5,4,7
arhamansari11,2024,25,solution1.py,7,8,7,6,8,7
arhamansari11,2025,1,solution1.py,7,8,7,7,8,7
arhamansari11,2025,1,solution2.py,6,7,5,6,7,6
arhamansari11,2025,2,Q1.py,7,8,7,7,7,7
arhamansari11,2025,2,Q2.py,7,8,7,7,7,8
arhamansari11,2025,3,Q1.py,6,7,7,5,7,6
arhamansari11,2025,3,Q2.py,7,8,7,7,8,7
arhamansari11,2025,4,Q1.py,6,7,3,7,2,7
arhamansari11,2025,4,Q2.py,7,8,7,7,8,7
arhamansari11,2025,5,Q1.py,7,8,7,7,6,7
arhamansari11,2025,5,Q2.py,7,8,6,7,8,7
arhamansari11,2025,6,Q1.py,4,5,3,4,5,6
arhamansari11,2025,6,Q2.py,4,5,2,4,2,6
arhamansari11,2025,7,Q1.py,6,7,4,6,7,5
arhamansari11,2025,7,Q2.py,6,7,4,6,7,7
arhamansari11,2025,8,Q1.py,7,8,7,7,8,7
arhamansari11,2025,8,Q2.py,7,8,7,7,7,8
arhamansari11,2025,9,Q1.py,7,8,6,7,8,7
arhamansari11,2025,9,Q2.py,7,8,7,6,7,7
arhamansari11,2025,10,Q1.py,7,8,7,6,8,7
arhamansari11,2025,10,Q2.py,6,7,7,5,6,6
arhamansari11,2025,11,Q1.py,7,8,6,7,8,7
arhamansari11,2025,11,Q2.py,7,8,6,7,8,7
arhamansari11,2025,12,Q1.py,6,7,7,5,7,6
arhamansari11,2025,12,Q2.py,1,1,1,1,1,1
Bikatr7,2024,1,1.py,6,5,4,7,2,7
Bikatr7,2024,2,2.py,6,7,6,5,2,7
Bikatr7,2024,3,3.py,4,4,6,3,5,5
Bikatr7,2024,4,4.py,3,2,4,4,1,3
Bikatr7,2024,5,5.py,3,2,4,4,1,4
Bikatr7,2024,6,6.py,3,2,4,4,1,4
Bikatr7,2024,7,7.py,3,2,5,4,1,3
Bikatr7,2024,8,8.py,3,2,4,4,1,3
Bikatr7,2024,9,9.py,3,2,4,3,1,3
Bikatr7,2024,10,10.py,3,2,5,4,1,4
Bikatr7,2024,11,11.py,3,2,4,5,1,4
Bikatr7,2024,12,12.py,3,2,4,4,1,4
Bikatr7,2024,13,13.py,4,3,5,6,2,5
Bikatr7,2024,14,14.py,3,2,4,5,1,3
Bikatr7,2024,15,15.py,4,3,5,4,2,5
Bikatr7,2024,16,16.py,4,3,5,4,1,4
Bikatr7,2024,17,17.py,3,2,4,3,1,4
Bikatr7,2024,18,18.py,3,1,5,6,1,4
Bikatr7,2024,19,19.py,3,2,4,4,1,3
Bikatr7,2024,20,20.py,3,2,4,4,1,4
Bikatr7,2024,21,21.py,3,2,4,3,1,3
Bikatr7,2024,22,22.py,3,2,4,5,1,4
Bikatr7,2024,23,23.py,3,1,4,4,1,5
Bikatr7,2024,24,24.py,5,6,5,4,4,6
Bikatr7,2024,25,25.py,3,2,4,4,1,3
Bikatr7,2025,1,1.py,4,4,3,5,1,5
Bikatr7,2025,2,2.py,3,2,4,4,1,3
Bikatr7,2025,3,3.py,3,3,4,3,1,4
Bikatr7,2025,4,4.py,6,6,7,6,2,7
Bikatr7,2025,5,5.py,4,3,6,5,2,4
Bikatr7,2025,6,6.py,3,2,4,3,1,4
Bikatr7,2025,7,7.py,4,3,5,4,2,5
Bikatr7,2025,8,8.py,4,3,5,5,2,4
Bikatr7,2025,9,9.py,4,3,5,4,1,5
derailed-dash,2015,1,parse_brackets.py,8,9,7,8,8,8
derailed-dash,2015,2,wrapping_paper.py,8,9,8,9,8,8
derailed-dash,2015,3,delivery_houses.py,7,8,5,7,8,7
derailed-dash,2015,3,delivery_houses_complex.py,7,8,5,7,9,8
derailed-dash,2015,3,delivery_houses_points.py,7,8,6,7,8,7
derailed-dash,2015,4,mining_advent_coins.py,7,8,6,7,9,7
derailed-dash,2015,5,naughty_or_nice.py,7,8,7,7,8,7
derailed-dash,2015,5,naughty_or_nice_all_regex.py,7,8,7,8,8,7
derailed-dash,2015,6,lights_display_dicts.py,6,7,6,6,8,6
derailed-dash,2015,6,lights_display_lists.py,7,8,7,7,9,6
derailed-dash,2015,6,lights_display_numpy.py,8,9,8,8,9,8
derailed-dash,2015,7,bitwise_logic_circuits_with_peg.py,7,8,7,6,8,7
derailed-dash,2015,8,parsing_literals.py,7,8,6,8,8,7
derailed-dash,2015,9,journeys_with_networkx.py,8,9,8,7,9,8
derailed-dash,2015,9,shortest_distance.py,7,8,7,6,8,7
derailed-dash,2015,10,look_and_say.py,7,8,7,6,8,7
derailed-dash,2015,11,changing_password.py,7,8,7,7,8,7
derailed-dash,2015,12,json_numbers.py,7,8,7,7,9,7
derailed-dash,2015,13,happy_seating.py,7,8,7,6,8,7
derailed-dash,2015,13,happy_seating_with_networkx.py,7,8,7,6,8,7
derailed-dash,2015,14,reindeer_racing.py,8,9,8,7,9,8
derailed-dash,2015,15,cookie_ingredients_with_combos_and_perms.py,7,8,7,7,8,7
derailed-dash,2015,15,cookie_ingredients_with_recursive_yield.py,7,8,7,6,8,7
derailed-dash,2015,15,faster_solution_with_recursion.py,7,8,7,6,8,7
derailed-dash,2015,16,finding_sue.py,7,8,7,6,8,7
derailed-dash,2015,17,combinations_of_containers_combos.py,7,8,5,7,8,7
derailed-dash,2015,17,combinations_of_containers_subset_sum.py,7,8,8,6,7,7
derailed-dash,2015,18,animating_lights.py,7,8,7,6,8,7
derailed-dash,2015,18,animating_lights_numpy.py,7,8,7,6,8,7
derailed-dash,2015,18,animating_lights_points.py,8,9,8,7,9,8
derailed-dash,2015,19,reindeer_chemistry.py,7,8,7,6,8,7
derailed-dash,2015,20,elf_delivery.py,7,8,7,7,8,7
derailed-dash,2015,21,boss_fight.py,7,8,7,7,8,7
derailed-dash,2015,21,player.py,8,9,8,9,8,8
derailed-dash,2015,22,spell_casting.py,6,7,5,6,8,5
derailed-dash,2015,22,spell_casting_old.py,6,7,5,6,8,5
derailed-dash,2015,23,computer.py,7,8,7,6,8,7
derailed-dash,2015,24,sleigh_balance.py,7,8,7,7,8,7
derailed-dash,2015,25,instr_manual_codes.py,7,8,6,7,8,7
derailed-dash,2015,25,instr_manual_codes_numpy.py,7,8,7,6,8,7
derailed-dash,2016,1,distance_to_bunny_hq.py,7,8,7,7,8,7
derailed-dash,2016,2,bathroom_codes.py,7,8,7,6,8,7
derailed-dash,2016,3,timer.py,8,9,7,8,9,8
derailed-dash,2016,3,weird_triangles.py,7,8,6,7,8,7
derailed-dash,2016,3,weird_triangles_zip.py,7,8,6,7,8,7
derailed-dash,2016,4,decrypt_rooms.py,7,8,7,7,8,7
derailed-dash,2016,5,md5_door_code.py,7,8,5,7,8,7
derailed-dash,2016,6,char_counts_in_cols.py,7,8,6,7,7,8
derailed-dash,2016,7,ip_v7.py,6,7,5,5,8,6
derailed-dash,2016,8,display_pixels.py,7,8,7,7,8,6
derailed-dash,2016,9,expand_compressed_re.py,5,7,4,5,6,5
derailed-dash,2016,9,expand_compressed_re_recurse.py,7,8,7,6,9,7
derailed-dash,2016,10,bots_and_chips.py,7,8,6,6,8,7
derailed-dash,2016,11,generators_and_chips.py,7,8,7,6,8,6
derailed-dash,2016,12,assembunny_instructions.py,7,8,7,6,8,7
derailed-dash,2016,13,maze_shortest_path.py,7,8,7,7,8,6
derailed-dash,2016,13,maze_shortest_path_networkx.py,7,8,7,7,8,7
derailed-dash,2016,14,md5_keys.py,7,8,7,6,8,7
derailed-dash,2016,14,md5_keys_with_cache.py,7,8,7,6,8,8
derailed-dash,2016,15,rotating_discks.py,7,8,6,7,8,7
derailed-dash,2016,16,dragon_checksum.py,7,8,7,6,8,7
derailed-dash,2016,17,vault_maze.py,7,8,7,6,8,7
derailed-dash,2016,18,trap_tiles.py,7,8,6,7,8,7
derailed-dash,2016,19,elf_presents_circle_deque.py,7,8,6,7,9,7
derailed-dash,2016,19,elf_presents_circle_deque2.py,6,7,5,6,7,7
derailed-dash,2016,19,elf_presents_circle_dict.py,4,6,3,3,5,4
derailed-dash,2016,19,elf_presents_linked_list.py,6,7,5,6,8,5
derailed-dash,2016,19,elf_presents_set.py,5,6,3,4,7,5
derailed-dash,2016,19,elf_presents_sortedset.py,4,6,3,4,5,4
derailed-dash,2016,19,linked_lists.py,8,9,7,8,9,8
derailed-dash,2016,19,sorted_set.py,8,8,8,7,9,8
derailed-dash,2016,20,ip_addresses.py,6,7,6,5,7,6
derailed-dash,2016,20,ip_addresses2.py,7,8,7,6,8,7
derailed-dash,2016,21,pwd_scrambler.py,7,8,7,6,8,6
derailed-dash,2016,22,storage_grid.py,7,8,7,6,8,7
derailed-dash,2016,23,safe_cracking_assembunny.py,7,8,7,7,8,7
derailed-dash,2016,24,robot_control.py,7,8,7,6,9,7
derailed-dash,2016,25,assembunny_clock_signal.py,7,8,6,7,8,7
derailed-dash,2018,1,d01.py,8,9,7,8,7,8
derailed-dash,2018,2,d02.py,8,8,8,7,9,8
derailed-dash,2018,3,d03.py,7,8,7,7,8,7
derailed-dash,2018,4,d04.py,7,8,7,7,7,7
derailed-dash,2018,5,d05.py,8,9,8,8,9,8
derailed-dash,2018,6,d06.py,7,8,7,6,8,7
derailed-dash,2018,7,d07.py,7,8,6,8,6,7
derailed-dash,2018,8,d08.py,7,8,6,8,7,7
derailed-dash,2018,9,d09.py,7,8,6,8,7,7
derailed-dash,2018,10,d10.py,7,8,6,8,7,7
derailed-dash,2018,11,d11.py,7,8,6,8,7,7
derailed-dash,2018,12,d12.py,7,8,6,8,7,7
derailed-dash,2018,13,d13.py,7,8,6,8,7,7
derailed-dash,2018,14,d14.py,7,8,6,7,7,8
derailed-dash,2018,15,d15.py,7,8,6,8,7,7
derailed-dash,2018,16,d16.py,7,8,6,8,7,7
derailed-dash,2018,17,d17.py,7,8,6,8,7,7
derailed-dash,2018,18,d18.py,7,8,6,8,7,7
derailed-dash,2018,19,d19.py,7,8,6,8,7,7
derailed-dash,2018,20,d20.py,7,8,6,7,7,8
derailed-dash,2018,21,d21.py,7,8,6,8,7,7
derailed-dash,2018,22,d22.py,7,8,6,8,7,8
derailed-dash,2018,23,d23.py,7,8,6,8,7,7
derailed-dash,2018,24,d24.py,7,8,6,8,7,7
derailed-dash,2018,25,d25.py,7,8,6,8,7,7
